Title	URL	Assignees	Status	Estimated size	Real size
[Component] Anomaly detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/6	FelipeTrost	Awaiting Review		
[Component] Duplicate detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/4	chris-1187, dh1542	Awaiting Review	8	
[sprint-02] Create software bill of materials	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/9	kristen149	Awaiting Review	1	
[Component] Identify missing data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/2	mollle	In Progress		
[sprint-02] Create software architecture diagram	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/10	dh1542, Timm638	In Progress	3	
Set up a development environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/1		In Progress		
Explore the test data and brainstorm RTDIP component ideas	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/11		In Progress	5	
Please adopt the Deliverables folder structure from https://github.com/amosproj/amos202Xss0Y-projname to your repo / branch	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/7		Feature Archive		
Fix broken virtual environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/8	dh1542, Timm638	Feature Archive	3	
Develop a test pipeline to run during release			Product Backlog		
Define clear acceptance criteria for components	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/16		Product Backlog		
[Component] Outlier detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/3	FelipeTrost	Product Backlog		
[Component] Dimensionality Reduction	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/17		Product Backlog		
[Component] Normalization of Data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/18		Product Backlog		
[Component] Alternative Preprocessing Methods	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/19		Product Backlog		
[Component] Trend Identification	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/20		Product Backlog		
[Component] Data Format	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/21		Product Backlog		
