Title	URL	Assignees	Status	Estimated size	Real size	Labels
Create a test pipeline to run during release	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/24	FelipeTrost	In Progress	5		
[Component] Anomaly detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/6	FelipeTrost	Awaiting Review	3		enhancement
[Component] Identify missing data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/2	mollle	Awaiting Review	8		enhancement
[Component] Normalization of Data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/18	kristen149, Timm638	In Progress	8		
Explore the test data and brainstorm RTDIP component ideas	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/11	chris-1187	In Progress	5		
[Component] Clean data based on Interval/Pattern	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/22	chris-1187, dh1542	In Progress			
[sprint-02] Create software architecture diagram	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/10	dh1542, Timm638	Feature Archive	3	5	
[sprint-02] Create software bill of materials	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/9	kristen149	Feature Archive	1	1	
Fix broken virtual environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/8	dh1542, Timm638	Feature Archive	3		bug
[Component] Duplicate detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/4	chris-1187, dh1542	Feature Archive	8	8	enhancement
[Component] Outlier detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/3	FelipeTrost	Feature Archive			duplicate
Set up a development environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/1		Feature Archive			good first issue
Time series prediction with linear regression	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/28		Product Backlog			component
Time Series prediction using ARIMA	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/29		Product Backlog			component
Store monitoring outputs in a standardized format	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/26		Product Backlog			enhancement
Validation of value ranges	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/31		Product Backlog			component
Advanced Duplicate Detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/30		Product Backlog			component
Dimensionality Reduction	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/17		Product Backlog			component
Alternative Preprocessing Methods	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/19		Product Backlog			component
Please adopt the Deliverables folder structure from https://github.com/amosproj/amos202Xss0Y-projname to your repo / branch	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/7		Feature Archive			documentation
[Component] Trend Identification	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/20		Feature Archive			
Define clear acceptance criteria for components	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/16		Feature Archive			
[Component] Data Format	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/21		Feature Archive			
