Title	URL	Assignees	Status	Estimated size	Real size	Labels	Sprint
Dimensionality Reduction	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/17	FelipeTrost	Awaiting Review	5		component	Sprint 8
Finish implementation of feedback and our first major release (PR #57)	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/90	dh1542	Sprint Backlog	3		release	Sprint 8
Duplicate detection: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/61	chris-1187	In Progress	3		refactoring	Sprint 8
Finish integrating ARIMA functionality of statsmodels into RTDIP	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/40	Timm638	In Progress	5		component	Sprint 8
Linear regression: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/66	kristen149	In Progress	3		refactoring	Sprint 8
ARIMA: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/65		Sprint Backlog	5		refactoring	Sprint 8
De/normalization: refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/64		Sprint Backlog	3		refactoring	Sprint 8
Anomaly detection: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/63	FelipeTrost	Sprint Backlog	3		refactoring	Sprint 8
Interval filtering: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/62	dh1542	Sprint Backlog	3		refactoring	Sprint 8
Fix broken API test	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/84	dh1542	Awaiting Review	5		bug	Sprint 8
Value range validation: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/67	mollle	Awaiting Review	3		refactoring	Sprint 8
Missing data detection: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/69	mollle	Awaiting Review	5		refactoring	Sprint 8
Flatline detection: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/68	mollle	Awaiting Review	3		refactoring	Sprint 8
Apply feedback for anomaly detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/75	kristen149	Feature Archive	1	1	refactoring	Sprint 7
Store monitoring outputs in a standardized format	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/26	dh1542	Feature Archive	13	13	enhancement	Sprint 7
Apply feedback for duplicate detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/73	dh1542	Feature Archive	2	1	refactoring	Sprint 7
Apply feedback for interval filtering	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/74	dh1542	Feature Archive	1	1	refactoring	Sprint 7
Apply feedback for missing data identification	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/77	mollle	Feature Archive	1	1	refactoring	Sprint 7
Apply feedback for value range check	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/76	mollle	Feature Archive	1	2	refactoring	Sprint 7
Apply feedback on project structure	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/80	dh1542	Feature Archive	2	5	refactoring	Sprint 7
Unified input data validation	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/60	chris-1187, mollle	Feature Archive	8	8	component	Sprint 7
Advanced Duplicate Detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/30	mollle	Feature Archive	2	2	component	Sprint 7
Data Binning	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/46	FelipeTrost	Feature Archive	5	5	component	Sprint 6
Prepare RTDIP demo	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/43	Timm638	Feature Archive	8	8		Sprint 6
Homework - user/desing/build documentation	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/56	FelipeTrost	Feature Archive	5	5	documentation	Sprint 6
One-Hot Encoding	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/45	kristen149	Feature Archive	3	3	component	Sprint 6
Interval Filtering not working for EventTime column of type 'datetime'	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/53	dh1542	Feature Archive	2	2	bug	Sprint 6
Reduce number of parameters needed to use ArimaPrediction effectively	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/41	chris-1187	Feature Archive	8	8	component	Sprint 6
Flatline detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/44	mollle	Feature Archive	2	2	component	Sprint 5
Validation of value ranges	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/31	mollle	Feature Archive	3	3	component	Sprint 5
Missing value imputation	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/36	chris-1187	Feature Archive	13	13	component	Sprint 5
Time series prediction with linear regression	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/28	FelipeTrost, kristen149	Feature Archive	8	8	component	Sprint 5
Normalization of Data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/18	kristen149, Timm638	Feature Archive	8	8	component	Sprint 4
Time Series prediction using ARIMA	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/29	Timm638	Feature Archive	13	8	component	Sprint 4
Clean data based on Interval/Pattern	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/22	dh1542	Feature Archive	8	8	component	Sprint 4
Create a test pipeline to run during release	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/24	FelipeTrost	Feature Archive	5	1		Sprint 3
[Component] Identify missing data	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/2	mollle	Feature Archive	8	8	enhancement	Sprint 3
Explore the test data and brainstorm RTDIP component ideas	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/11	chris-1187	Feature Archive	5	5		Sprint 3
[Component] Anomaly detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/6	FelipeTrost	Feature Archive	3	8	enhancement	Sprint 3
[sprint-02] Create software architecture diagram	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/10	dh1542, Timm638	Feature Archive	3	5		Sprint 2
[sprint-02] Create software bill of materials	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/9	kristen149	Feature Archive	1	1		Sprint 2
Fix broken virtual environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/8	dh1542, Timm638	Feature Archive	3	3	bug	Sprint 2
[Component] Duplicate detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/4	chris-1187, dh1542	Feature Archive	8	8	enhancement	Sprint 1
[Component] Outlier detection	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/3	FelipeTrost	Feature Archive			duplicate	Sprint 2
Set up a development environment	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/1		Feature Archive			good first issue	Sprint 1
Missing copyright text	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/78		Feature Archive			refactoring	Sprint 7
Rename ColsToVector component	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/79		Feature Archive			refactoring	Sprint 7
Missing Value Imputation: Refactor unit tests	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/92		Sprint Backlog	3		refactoring	Sprint 8
Demo pipeline of multiple components	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/96		Product Backlog				
Alternative Preprocessing Methods	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/19		Feature Archive			component	
Please adopt the Deliverables folder structure from https://github.com/amosproj/amos202Xss0Y-projname to your repo / branch	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/7		Feature Archive			documentation	Sprint 1
[Component] Trend Identification	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/20		Feature Archive				
Define clear acceptance criteria for components	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/16		Feature Archive				
Interval Screening and Missing Entry Insertion	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/47		Feature Archive				
[Component] Data Format	https://github.com/amosproj/amos2024ws01-rtdip-data-quality-checker/issues/21		Feature Archive				
