CLASS,EXPIRE_TIME_GMT,FCST_VALID,FCST_VALID_LOCAL,NUM,DAY_IND,TEMP,DEWPT,HI,WC,FEELS_LIKE,ICON_EXTD,WXMAN,ICON_CODE,DOW,PHRASE_12CHAR,PHRASE_22CHAR,PHRASE_32CHAR,SUBPHRASE_PT1,SUBPHRASE_PT2,SUBPHRASE_PT3,POP,PRECIP_TYPE,QPF,SNOW_QPF,RH,WSPD,WDIR,WDIR_CARDINAL,GUST,CLDS,VIS,MSLP,UV_INDEX_RAW,UV_INDEX,UV_WARNING,UV_DESC,GOLF_INDEX,GOLF_CATEGORY,SEVERITY,LATITUDE,LONGITUDE
fod_short_range_hourly,1688143329,1688144400,2023-06-30T12:00:00-0500,1,D,89,71,96,89,96,3400,wx1030,34,Friday,M Sunny,Mostly Sunny,Mostly Sunny,Mostly,Sunny,,0,rain,0.0,0.0,56,10,211,SSW,17.0,25,10.0,29.98,9.25,9,0,Very High,8.0,Very Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688148000,2023-06-30T13:00:00-0500,2,D,91,71,99,91,99,3400,wx1030,34,Friday,M Sunny,Mostly Sunny,Mostly Sunny,Mostly,Sunny,,0,rain,0.0,0.0,51,10,202,SSW,,29,10.0,29.97,10.61,11,1,Extreme,8.0,Very Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688151600,2023-06-30T14:00:00-0500,3,D,93,71,101,93,101,3400,wx1030,34,Friday,M Sunny,Mostly Sunny,Mostly Sunny,Mostly,Sunny,,0,rain,0.0,0.0,50,10,192,S,16.0,27,10.0,29.95,10.49,10,0,Very High,8.0,Very Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688155200,2023-06-30T15:00:00-0500,4,D,95,71,104,95,104,3000,wx1130,30,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,0,rain,0.0,0.0,47,9,188,S,,31,10.0,29.93,8.9,9,0,Very High,7.0,Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688158800,2023-06-30T16:00:00-0500,5,D,95,71,104,95,104,3000,wx1130,30,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,0,rain,0.0,0.0,46,8,185,S,,35,10.0,29.91,6.46,6,0,High,7.0,Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688162400,2023-06-30T17:00:00-0500,6,D,95,71,104,95,104,3000,wx1130,30,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,0,rain,0.0,0.0,45,9,178,S,,30,10.0,29.9,3.92,4,0,Moderate,7.0,Good,1,32.3667,-95.4
fod_short_range_hourly,1688143329,1688166000,2023-06-30T18:00:00-0500,7,D,95,71,104,95,104,3000,wx1130,30,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,0,rain,0.0,0.0,47,9,167,SSE,,38,10.0,29.89,1.85,2,0,Low,7.0,Good,1,32.3667,-95.4
fod_long_range_hourly,1688143371,1688169600,2023-06-30T19:00:00-0500,8,D,93,72,102,93,102,3000,wx1130,30,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,0,rain,0.0,0.0,50,8,156,SSE,,30,10.0,29.88,0.58,1,0,Low,7.0,Good,1,32.3667,-95.4
fod_long_range_hourly,1688143371,1688173200,2023-06-30T20:00:00-0500,9,D,91,73,100,91,100,3400,wx1030,34,Friday,M Sunny,Mostly Sunny,Mostly Sunny,Mostly,Sunny,,0,rain,0.0,0.0,56,6,162,SSE,,28,10.0,29.88,0.09,0,0,Low,8.0,Very Good,1,32.3667,-95.4
fod_long_range_hourly,1688143371,1688176800,2023-06-30T21:00:00-0500,10,N,87,73,96,87,96,2900,wx1600,29,Friday,P Cloudy,Partly Cloudy,Partly Cloudy,Partly,Cloudy,,1,rain,0.0,0.0,64,4,152,SSE,,42,10.0,29.88,0.0,0,0,Low,,,1,32.3667,-95.4
