latitude,longitude,weather_day,weather_hour,weather_timezone_offset,weather_type,processed_date,temperature,dew_point,humidity,heat_index,wind_chill,wind_direction,wind_speed,cloud_cover,wet_bulb_temp,solar_irradiance,precipitation,day_or_night,day_of_week,wind_gust,msl_pressure,forecast_day_num,prop_of_precip,precip_type,snow_accumulation,uv_index,visibility
32.3667,-95.4,2023-06-30,13,-0500,F,2023-06-30 17:32:15,89.0,71.0,56.0,96.0,89.0,211.0,10.0,25.0,,,0.0,D,Friday,17,29.98,1,0,rain,0.0,9.0,10.0
32.3667,-95.4,2023-06-30,14,-0500,F,2023-06-30 17:32:15,91.0,71.0,51.0,99.0,91.0,202.0,10.0,29.0,,,0.0,D,Friday,0,29.97,2,0,rain,0.0,11.0,10.0
32.3667,-95.4,2023-06-30,15,-0500,F,2023-06-30 17:32:15,93.0,71.0,50.0,101.0,93.0,192.0,10.0,27.0,,,0.0,D,Friday,16,29.95,3,0,rain,0.0,10.0,10.0
32.3667,-95.4,2023-06-30,16,-0500,F,2023-06-30 17:32:15,95.0,71.0,47.0,104.0,95.0,188.0,9.0,31.0,,,0.0,D,Friday,0,29.93,4,0,rain,0.0,9.0,10.0
32.3667,-95.4,2023-06-30,17,-0500,F,2023-06-30 17:32:15,95.0,71.0,46.0,104.0,95.0,185.0,8.0,35.0,,,0.0,D,Friday,0,29.91,5,0,rain,0.0,6.0,10.0
32.3667,-95.4,2023-06-30,18,-0500,F,2023-06-30 17:32:15,95.0,71.0,45.0,104.0,95.0,178.0,9.0,30.0,,,0.0,D,Friday,0,29.9,6,0,rain,0.0,4.0,10.0
32.3667,-95.4,2023-06-30,19,-0500,F,2023-06-30 17:32:15,95.0,71.0,47.0,104.0,95.0,167.0,9.0,38.0,,,0.0,D,Friday,0,29.89,7,0,rain,0.0,2.0,10.0
32.3667,-95.4,2023-06-30,20,-0500,F,2023-06-30 17:32:15,93.0,72.0,50.0,102.0,93.0,156.0,8.0,30.0,,,0.0,D,Friday,0,29.88,8,0,rain,0.0,1.0,10.0
32.3667,-95.4,2023-06-30,21,-0500,F,2023-06-30 17:32:15,91.0,73.0,56.0,100.0,91.0,162.0,6.0,28.0,,,0.0,D,Friday,0,29.88,9,0,rain,0.0,0.0,10.0
32.3667,-95.4,2023-06-30,22,-0500,F,2023-06-30 17:32:15,87.0,73.0,64.0,96.0,87.0,152.0,4.0,42.0,,,0.0,N,Friday,0,29.88,10,1,rain,0.0,0.0,10.0
32.3667,-95.4,2023-06-30,23,-0500,F,2023-06-30 17:32:15,86.0,73.0,66.0,94.0,86.0,153.0,5.0,58.0,,,0.0,N,Friday,0,29.89,11,1,rain,0.0,0.0,10.0
32.3667,-95.4,2023-06-30,24,-0500,F,2023-06-30 17:32:15,85.0,73.0,68.0,92.0,85.0,159.0,5.0,62.0,,,0.0,N,Friday,0,29.9,12,1,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,1,-0500,F,2023-06-30 17:32:15,84.0,73.0,71.0,91.0,84.0,165.0,6.0,59.0,,,0.0,N,Saturday,0,29.91,13,2,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,2,-0500,F,2023-06-30 17:32:15,83.0,73.0,73.0,90.0,83.0,178.0,8.0,61.0,,,0.0,N,Saturday,0,29.92,14,2,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,3,-0500,F,2023-06-30 17:32:15,82.0,73.0,74.0,89.0,82.0,188.0,9.0,71.0,,,0.0,N,Saturday,17,29.92,15,2,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,4,-0500,F,2023-06-30 17:32:15,82.0,73.0,74.0,88.0,82.0,194.0,9.0,64.0,,,0.0,N,Saturday,17,29.92,16,2,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,5,-0500,F,2023-06-30 17:32:15,81.0,73.0,77.0,87.0,81.0,196.0,9.0,70.0,,,0.0,N,Saturday,18,29.92,17,3,rain,0.0,0.0,10.0
32.3667,-95.4,2023-07-01,6,-0500,F,2023-06-30 17:32:15,80.0,73.0,79.0,85.0,80.0,199.0,9.0,74.0,,,0.0,N,Saturday,17,29.93,18,4,rain,0.0,0.0,9.0
32.3667,-95.4,2023-07-01,7,-0500,F,2023-06-30 17:32:15,79.0,73.0,80.0,85.0,79.0,196.0,8.0,78.0,,,0.0,N,Saturday,0,29.94,19,4,rain,0.0,0.0,9.0
32.3667,-95.4,2023-07-01,8,-0500,F,2023-06-30 17:32:15,79.0,73.0,83.0,84.0,79.0,195.0,9.0,70.0,,,0.0,D,Saturday,0,29.95,20,5,rain,0.0,0.0,9.0
32.3667,-95.4,2023-07-01,9,-0500,F,2023-06-30 17:32:15,80.0,73.0,79.0,86.0,80.0,198.0,10.0,70.0,,,0.0,D,Saturday,18,29.96,21,4,rain,0.0,1.0,10.0
32.3667,-95.4,2023-07-01,10,-0500,F,2023-06-30 17:32:15,83.0,73.0,74.0,89.0,83.0,209.0,11.0,62.0,,,0.0,D,Saturday,19,29.97,22,4,rain,0.0,2.0,10.0
32.3667,-95.4,2023-07-01,11,-0500,F,2023-06-30 17:32:15,85.0,74.0,69.0,93.0,85.0,216.0,11.0,45.0,,,0.0,D,Saturday,17,29.97,23,2,rain,0.0,5.0,10.0
32.3667,-95.4,2023-07-01,12,-0500,F,2023-06-30 17:32:15,87.0,73.0,63.0,95.0,87.0,212.0,10.0,52.0,,,0.0,D,Saturday,0,29.98,24,1,rain,0.0,7.0,10.0
32.3667,-95.4,2023-07-01,13,-0500,F,2023-06-30 17:32:15,89.0,72.0,58.0,97.0,89.0,217.0,11.0,53.0,,,0.0,D,Saturday,17,29.98,25,1,rain,0.0,9.0,10.0
32.3667,-95.4,2023-07-01,14,-0500,F,2023-06-30 17:32:15,92.0,72.0,52.0,100.0,92.0,215.0,10.0,37.0,,,0.0,D,Saturday,0,29.97,26,0,rain,0.0,11.0,10.0
32.3667,-95.4,2023-07-01,15,-0500,F,2023-06-30 17:32:15,93.0,71.0,50.0,101.0,93.0,205.0,10.0,34.0,,,0.0,D,Saturday,16,29.95,27,0,rain,0.0,11.0,10.0
32.3667,-95.4,2023-07-01,16,-0500,F,2023-06-30 17:32:15,94.0,71.0,48.0,102.0,94.0,205.0,9.0,34.0,,,0.0,D,Saturday,0,29.93,28,0,rain,0.0,9.0,10.0
32.3667,-95.4,2023-07-01,17,-0500,F,2023-06-30 17:32:15,94.0,70.0,47.0,102.0,94.0,207.0,8.0,34.0,,,0.0,D,Saturday,0,29.9,29,0,rain,0.0,7.0,10.0
